id,nome,categoria,preco
1,Notebook Pro 15,Eletrônicos,4599.90
2,Mouse Sem Fio,Periféricos,89.90
3,Teclado Mecânico,Periféricos,349.90
4,Monitor 24",Eletrônicos,1299.90
5,Headset Gamer,Periféricos,259.90
6,Cadeira Ergonômica,Mobiliário,1850.00
7,Mesa Escritório,Mobiliário,650.00
8,Webcam HD,Periféricos,199.90
9,SSD 1TB,Armazenamento,399.90
10,Hub USB-C,Periféricos,129.90
11,Smartphone X12,Eletrônicos,2799.90
12,Tablet 10",Eletrônicos,1599.90
13,Caixa de Som Bluetooth,Eletrônicos,319.90
14,Mousepad XL,Periféricos,79.90
